frame,value
667,0.375696
668,0.287064
669,0.787957
670,0.617302
671,0.419749
672,0.214820
673,0.073781
674,0.920009
675,0.836782
676,0.670699
677,0.534785
678,0.866159
679,0.729314
680,0.565165
681,0.422825
682,0.305857
683,0.958266
684,0.792710
685,0.454412
686,0.250625
687,0.146513
688,0.756310
689,0.558730
690,0.375308
691,0.197335
692,0.079827
693,0.713904
694,0.520679
695,0.381998
696,0.287132
697,0.217294
698,0.633349
699,0.436481
700,0.282734
701,0.219081
702,0.150901
703,0.886287
704,0.768964
705,0.585262
706,0.515987
707,0.811323
708,0.621232
709,0.432768
710,0.316330
711,0.227603
712,0.616430
713,0.416457
714,0.277394
715,0.165833
716,0.165833
717,0.542848
718,0.361575
719,0.237568
720,0.192082
721,0.201593
722,0.769546
723,0.601129
724,0.454215
725,0.353039
726,0.268105
727,0.681187
728,0.487330
729,0.307209
730,0.167490
731,0.083719
732,0.859360
733,0.683727
734,0.302840
735,0.859908
736,0.691390
737,0.519352
738,0.389459
739,0.291669
740,0.704922
741,0.468483
742,0.268955
743,0.242669
744,0.150253
745,0.627603
746,0.419261
747,0.256118
748,0.129880
749,0.096147
750,0.846627
751,0.704210
752,0.563870
753,0.448154
754,0.342847
755,0.849214
756,0.719840
757,0.565181
758,0.396783
759,0.219780
760,0.925997
761,0.832220
762,0.617603
763,0.526495
764,0.909408
765,0.774067
766,0.631794
767,0.499713
768,0.376427
769,0.878707
770,0.658322
771,0.499771
772,0.318453
773,0.234102
774,0.825479
775,0.639959
776,0.451593
777,0.292464
778,0.161959
779,0.787319
780,0.616465
781,0.477504
782,0.364345
783,0.276199
784,0.748485
785,0.585192
786,0.408325
787,0.217343
788,0.089444
789,0.897514
790,0.772445
791,0.531844
792,0.374824
793,0.861906
794,0.709606
795,0.539392
796,0.394560
797,0.287558
798,0.760808
799,0.556752
800,0.369715
801,0.247667
802,0.179394
803,0.682736
804,0.499338
805,0.339936
806,0.188675
807,0.116368
808,0.842545
809,0.708108
810,0.562630
811,0.437662
812,0.332292
813,0.838266
814,0.696875
815,0.520636
816,0.335156
817,0.148368
818,0.937001
819,0.860395
820,0.694956
821,0.628293
822,0.899050
823,0.776224
824,0.625914
825,0.486167
826,0.357665
827,0.979242
828,0.747210
829,0.535661
830,0.289786
831,0.193181
832,0.839988
833,0.661110
834,0.476183
835,0.289530
836,0.134683
837,0.820724
838,0.658861
839,0.507749
840,0.375652
841,0.278135
842,0.791928
843,0.614097
844,0.427067
845,0.215925
846,0.066814
847,0.912859
848,0.804399
849,0.567957
850,0.459082
851,0.884407
852,0.749899
853,0.579986
854,0.423175
855,0.292260
856,0.893703
857,0.645242
858,0.424612
859,0.274815
860,0.124481
861,0.804340
862,0.592186
863,0.378053
864,0.189931
865,0.066268
average,0.532571
